"","...1","site","date","city","county","state","lat","lng","n_post","upvotes","n_comment","stars","reviews","type","introduce","review","url","hot"
"133",215,"Delaware Water Gap National Recreation Area",2022-12-20 21:43:23,"Union City","Hudson","New Jersey",40.7675,-74.0323,161,6758,12116,4.7,6084,"National reserve","Vast forested preserve featuring hiking trails, campsites & water sports on the Delaware River.","['  Beautiful Hiking place for anyone.\nThere are 2 sides to go up the mountains. Green Dots has better views of the river and beautiful pathways … ', '  If you\'re looking for this view, make sure you put in Mt. Tammany trail into google maps. I made the mistake of putting in ""Delaware Water Gap"" and google maps put me into the recreation area. No complaints at all, as it was a beautiful day … ', '  It was so beautiful and nice. We loved it. BE CAREFUL THOUGH THERE IS BEARS THERE. AS SOON AS IT STARTS TO DARK THEY COMING OUT AND START BREAKING THE TREES NEXT TO YOU IF FOR SOME REASON YOU STAYED FOR A NIGHT THERE. SO CAREFUL ']","https://www.google.com.tw/maps/place/Delaware+Water+Gap+National+Recreation+Area/data=!4m7!3m6!1s0x89c362726c5eaadd:0xfd39a58f82825bf9!8m2!3d41.1043946!4d-74.9442586!16zL20vMDg0YjNs!19sChIJ3apebHJiw4kR-VuCgo-lOf0?authuser=0&hl=en&rclk=1",2.79383661867962
"134",218,"Guttenberg/North Bergen Waterfront Park",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,60,2852,988,4.8,159,"Park","None","[""  Like no other Skyline!!! ❤️ We do 2-3 times family walk with our dog parallel tho Manhattan skyline from the Jersey side and it's breathtaking. This are so close to water but we never feel dangerous. "", '  Lovely but small park. Great NYC views and the waterfront walkway is the big bonus. During the summer months they have live entertainment on Thursday evenings and the park has 2 bathrooms (toilet/sink) and not enough parking spaces. Tables can be reserved with either city hall for private events. ', '  Amazing place! It is quiet beautiful and good looking. We went for a bike ride and it was super refreshing. I would definitely go again! ']","https://www.google.com.tw/maps/place/Guttenberg%2FNorth+Bergen+Waterfront+Park/data=!4m7!3m6!1s0x89c258712fd3fe1d:0xc4c4384171f52640!8m2!3d40.7913707!4d-73.998405!16s%2Fg%2F11c4b6njgd!19sChIJHf7TL3FYwokRQCb1cUE4xMQ?authuser=0&hl=en&rclk=1",1.06227640976782
"135",250,"Rumba Cubana - Guttenberg",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,0,0,0,4.5,4506,"Cuban restaurant","Cuban restaurant & bar serving traditional dishes, shakes & cocktails in a tropical-themed setting.","[""  Fun! Loud! Boisterous! Great food and staff! Nice views. Separate bar upstairs. Authentic Cuban food and desserts. Great drinks and coffee/espresso as well. Very cool decor! Can't wait to return when in town again! "", '  The view is amazing, the food is good, we enjoyed only appetizers this time and some cocktails. The piña colada was delicious, both with and without alcohol and highly recommend the stuffed tostones.  The only thing that keeps me from a 5 … ', ""  Good service, good food, fair prices. Tostones were rubbery and tasteless. I think it's fair to expect fresh crisp Tostones! If I can do better at home why eat out? I mean if you can't make Tostones right it indicated a lack of caring. Having said that over all it was good. ""]","https://www.google.com.tw/maps/place/Rumba+Cubana+-+Guttenberg/data=!4m7!3m6!1s0x406607d8b50fe253:0x42685be05693293f!8m2!3d40.7912501!4d-74.0009541!16s%2Fg%2F11b7001nxn!19sChIJU-IPtdgHZkARPymTVuBbaEI?authuser=0&hl=en&rclk=1",0
"136",258,"Wild Rover Pub",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,28,661,343,4.6,256,"Irish pub","Basic Irish sports bar for simple grub & beer, plus pool, darts, karaoke & open-mike nights.","['  Got kicked out while waiting to get quarters to play some pool with my girlfriend, I am a black male just chillen by the bar and get ignored. 10 customers got there drinks before I was even attended, I’ve been going here for about 3 years , … ', ""  The best place for st. Patrick's day!!!!\nIt was a block party with drinks, multiple bands, drinks outside, dog friendly, and free corned beef in the back. The corned beef made me so happy!!!! … "", '  The first time meeting a friend there, I had a blast, and they should add one more bartender there on the weekends. Just two bartenders had their hands full. Overall I had a great time there and probably will be back in the near future. ']","https://www.google.com.tw/maps/place/Wild+Rover+Pub/data=!4m7!3m6!1s0x89c258746f465d3b:0xc405653dff50b1fe!8m2!3d40.7933446!4d-74.0027493!16s%2Fg%2F1td9x0nh!19sChIJO11Gb3RYwokR_rFQ_z1lBcQ?authuser=0&hl=en&rclk=1",0.453352141221062
"137",259,"George Washington Bridge",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,58,1004,888,4.1,5228,"Bridge","Opened in 1931, this iconic suspension bridge between Manhattan & New Jersey allows pedestrians.","['  With 200 feet of clearance underneath and a total height of 600 feet, this is an impressive bridge. The bridge was built in 1927 and a lower deck was added in 1962. Not many people walk it but there is a pedestrian walkway, and you can go … ', '  I finally rode my e-bike across to NJ to ride up to the Governor Cuomo bridge. The entry way onto the bridge is extremely tight for bikers but once you get onto the actual bridge it widens up a bit more for bikes to pass each other with the … ', ""  It's not the easiest bridge to cross. That's why you don't see too many tourists. It looks beautiful from far away especially when it's lit up at night. But when you try to walk across you will quickly realize that it's just a rickety rust … ""]","https://www.google.com.tw/maps/place/George+Washington+Bridge/data=!4m7!3m6!1s0x89c2f6bdce18ab07:0x43e0227030fb8c72!8m2!3d40.8516964!4d-73.9527159!16zL20vMDE5amcz!19sChIJB6sYzr32wokRcoz7MHAi4EM?authuser=0&hl=en&rclk=1",0.915984830301043
"138",261,"American Dream",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,147,6450,2848,4.4,19078,"Shopping mall","Gigantic indoor complex with shopping & dining options, plus a theme park, water park & ski slope.","['  This is an interesting mall. I think if you have nothing to do and want to walk around a mall this will be a good place. Parking is $5 per hour. The dinning options are good. There are interesting decors around the mall but for the most … ', '  Nice, clean and pretty new mall. It is fairly new some shop are still not open. This is very big mall with indoor water park. There are a-lot of fun activities for kids. They have very high end and well maintained areas where shoppers can … ', '  Nice and clean mall. It is fairly new so that is a given but the place is well maintained. Right now (Jan. 2022) some shop are still not open but pretty sure once pandemic restrictions ease up, this place will be packed. … ']","https://www.google.com.tw/maps/place/American+Dream/data=!4m7!3m6!1s0x89c2f98d2dc94ddd:0x41e8d13cd9b43e7c!8m2!3d40.8091663!4d-74.067868!16zL20vMGI0dHk2!19sChIJ3U3JLY35wokRfD602TzR6EE?authuser=0&hl=en&rclk=1",2.56858379285725
"139",275,"Newport Green Park",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,250,10605,9652,4.6,1491,"Park","This landscaped waterfront refuge on 4 acres includes a sandy beach, play area & special events.","['  The park is located next to the river front. Has a good landscaping and is a big arena. Lots of people during the evening hang out here. … ', ""  A very nice little park near both Hoboken and Newport PATH stations. There's grass, shrubs, benches, and a small (synthetic) beach with real sand. The views over Manhattan are amazing, especially at sunrise, and you're a short walk to … "", '  My 1st time to visit beautifully and well thought out design and location. Picked up breakfast at 9:30 am and sat in amazingly comfy clean beach chairs with plentiful umbrellas for beach shade but also, if you want,  trees over well … ']","https://www.google.com.tw/maps/place/Newport+Green+Park/data=!4m7!3m6!1s0x89c257579db153f1:0xde993775ada9412d!8m2!3d40.7316256!4d-74.0326604!16s%2Fg%2F11g_g0gbq!19sChIJ8VOxnVdXwokRLUGprXU3md4?authuser=0&hl=en&rclk=1",4.34529031828986
"140",278,"Tenafly Nature Center",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,149,8877,3949,4.7,322,"Non-profit organization","Nonprofit 400-acre nature preserve since 1961, offering a visitor center, guided hikes & bird walks.","['  Absolutely wonderful nature space and their Forest Preschool program is truly a gem! Our son attended the Spring session and it was one of the best decision we have ever made. The teachers are attentive, gentle, kind, and very … ', '  We found about this place through many glowing reviews and decided to take the kids here to visit the Butterfly house on a Sunday afternoon. When we entered the visitor center, we were rudely ignored by the manager, Cal until an employee … ', ""  I came here early on a Sunday. It was nice out. They have a lot of well maintained trails to walk. There are also animals here but we didn't see much of that area. ""]","https://www.google.com.tw/maps/place/Tenafly+Nature+Center/data=!4m7!3m6!1s0x89c2f1866f53aa25:0xfa3654ac70d3d6bb!8m2!3d40.924638!4d-73.944983!16zL20vMGM4djFx!19sChIJJapTb4bxwokRu9bTcKxUNvo?authuser=0&hl=en&rclk=1",2.75150020487294
"141",281,"Cavalino's",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,0,0,0,4.7,196,"Italian restaurant","Relaxed neighborhood spot doling out Italian comfort food & drinks.","[""  Marcelo, one of the owners of Cavalino's makes each and every guest feel special! You feel like you are a guest in his home. … "", ""  Great local bar/ restaurant to grab a quick bite and or a relaxing meal. As a frequent customer, I can honestly say the food is always fresh and to your personal liking. Very accommodating and friendly. If you like Salmon, it's probably the best in the area. Great early bird specials as well. Give it a try, you won't be disappointed. "", '  I love this place. Most of the special moments in my life have been celebrated here! The service is outstanding. Marcelo and team go out of their way to make you feel like roryalty! ']","https://www.google.com.tw/maps/place/Cavalino's/data=!4m7!3m6!1s0x89c258730c7b3fab:0xc4d66336b32fad4d!8m2!3d40.7912845!4d-74.004053!16s%2Fg%2F1tdch8g6!19sChIJqz97DHNYwokRTa0vszZj1sQ?authuser=0&hl=en&rclk=1",0
"142",283,"GP's Restaurant",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,35,1268,591,4.7,260,"Italian restaurant","Long-standing traditional Italian joint serving old-school fare in a checkered-tablecloth setting.","['  Have you ever felt like family while dining at a delicious cuisine restaurant? This is what our local Frank Sinatra visited Italian experience was tonight celebrating our anniversary & Saint Patty’s Day. … ', ""  This is by far the best and most authentic Italian I have ever had. Old school feel, with live piano music. Felt like a mob hit could take place at any moment, just kidding. Top notch place, can't wait to come back. "", '  I am so happy that we found this restaurant to have dinner at.\n\nYou can tell that this is a mom and pop kind of restaurant. The food was beyond … ']","https://www.google.com.tw/maps/place/GP's+Restaurant/data=!4m7!3m6!1s0x89c25873e971b9f5:0x681f0835f36fd2dc!8m2!3d40.7911825!4d-74.0017622!16s%2Fg%2F1v26n088!19sChIJ9blx6XNYwokR3NJv8zUIH2g?authuser=0&hl=en&rclk=1",0.594633215867404
"143",285,"Six Flags Great Adventure",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,250,17349,5653,4.4,43686,"Theme park","Large, vibrant amusement park featuring fast, high-tech roller-coasters, wildlife areas & more.","[""  Get there early for the Halloween days (11-11:30am) and ride all the coasters with no line! I prefer Great Adventure to Hershey Park because I find the coasters smoother and the waits aren't as bad if you're not at peak time/season. The ski … "", '  We visited the park on the first week it’s open for season 2022. We bought the season pass which includes parking , safari and multiple trips to park. I highly recommend going to safari it’s 1 hr 20 min long and you get to see elephant, … ', '  Six flags great adventure.\nA great place for kids and adults entertainment .\nA lot of varieties, parking lots available. … ']","https://www.google.com.tw/maps/place/Six+Flags+Great+Adventure/data=!4m7!3m6!1s0x89c164831c62ca1d:0x2bd60c6088332f46!8m2!3d40.1360605!4d-74.4361629!16zL20vMDFsNDg2!19sChIJHcpiHINkwYkRRi8ziGAM1is?authuser=0&hl=en&rclk=1",4.77188422279742
"144",286,"Guttenberg Arts",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,0,0,0,4.9,11,"Art gallery","None","['  Great place to encourage the arts in our neighborhood! More people need to know about their programs. It’s so great to see a local organization that provides artists with these opportunities. Looking forward to seeing them grow. ', '  Great place! Great people! Great workshops and teachers! I love to have this art school near my home so I don’t need to go to the city. Thank you! ', '  Signed up for a ceramics class and not only learned quite a bit but also made many new friends. ']","https://www.google.com.tw/maps/place/Guttenberg+Arts/data=!4m7!3m6!1s0x89c2580998458f47:0xf12fbaff23171972!8m2!3d40.7970044!4d-74.0136765!16s%2Fg%2F11b66g7lkz!19sChIJR49FmAlYwokRchkXI_-6L_E?authuser=0&hl=en&rclk=1",0
"145",288,"Lotus Thai Cuisine",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,17,269,493,4.3,375,"Thai restaurant","Cozy, chandelier-hung Thai restaurant with lunch specials & a BYOB policy.","['  The food was great! Nice ambiance and staff was nice. Definitely would recommend the peanut chicken ', '  Very good food, though the vegan duck was super soft. We took it home and air fried it to make it edible.  The rest of the food was top notch!  Lots of options even for veggies and vegans. The iced tea is as sweet as syrup, I do not … ', '  Good food , good ambience, good staff.\nWe did not know, Level 3 spicy is like sky rocket!!\nWe could not enjoy the food because of our spicy level mistake. It was very … ']","https://www.google.com.tw/maps/place/Lotus+Thai+Cuisine/data=!4m7!3m6!1s0x89c258747bbe63b1:0x33bd36628b3a8716!8m2!3d40.7929286!4d-74.0031348!16s%2Fg%2F1tgzc7sy!19sChIJsWO-e3RYwokRFoc6i2I2vTM?authuser=0&hl=en&rclk=1",0.26687947948712
"146",291,"Comedy Cellar",2022-12-20 21:43:23,"Guttenberg","Hudson","New Jersey",40.7928,-74.0049,9,67,224,4.6,3738,"Comedy club","Famous comics are often in the lineup at this brick-walled comedy club with several shows nightly.","['  The Cellar is the place to go if you want to see the best comics in the NY scene. While I would not anticipate seeing a surprise set from a big name comedian every time you go, I think you can rest assured you’ll have a great time. The food and drinks are pretty great, too! ', '  Great experience. The process of getting seated was smooth. The staff were professional. Four out of five comedians were awesome. (One was so-so.) But, real talk ... These are the best comedians in the country at the top of their game. You … ', '  It’s ALWAYS a fun night when we go to the Comedy Cellar. It’s so easy to reserve online. Never stress about the lineup because there are always surprise guests and everyone truly knocks it out of the park. Our favorite host is Aruba Ray! There is a two drink (or item) minimum. ']","https://www.google.com.tw/maps/place/Comedy+Cellar/data=!4m7!3m6!1s0x89c2599180d8339b:0xd2c25939c1d48c83!8m2!3d40.7302002!4d-74.0005639!16zL20vMDZzaDA5!19sChIJmzPYgJFZwokRg4zUwTlZwtI?authuser=0&hl=en&rclk=1",0.136518940595314
"147",299,"Sybil's Cave",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,0,0,0,3.9,79,"Historical place","Excavated in 1832, this cave features a natural spring & a Gothic-style arch at the entrance.","['  A shame people do not look a little deeper before writing reviews. I know the place from the water, having seen its decorative arch numerous times when paddling over from NYC on a kayak or paddle board. Why, I wondered, was there what … ', ""  This is a cool little piece of history! The gate is open so it is accessible to walk through. Although the plaque doesn't tell much of the history if you google it  this place used to sell spring water but it became a popular tourist … "", '  A bit abandoned in terms of care for grass etc. Wonderful view of NY! Lots of potential for the site to become more inviting. ']","https://www.google.com.tw/maps/place/Sybil's+Cave/data=!4m7!3m6!1s0x89c259dc0ddbe893:0x3b3d909fbc69ec95!8m2!3d40.7454301!4d-74.0230089!16s%2Fg%2F1z2cs0268!19sChIJk-jbDdxZwokRlexpvJ-QPTs?authuser=0&hl=en&rclk=1",0
"148",300,"Sinatra Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,1,1,14,4.7,2172,"Park","This waterfront park offers a kayak launch, soccer field, an amphitheater & views of Manhattan.","[""  I love walking my dog here and taking her on a little adventure to see the geese and other pups. There's always people around so I feel safe and there's plenty of benches if you want to sit and take in the sights of the city across the … "", '  Must visit park, you can visit this park any of the year and you will get different views each and everytime. Every season has its own view. Can get enough of the new york skyline. ', '  Very nice park, great atmosphere, a couple good eating venues and ice cream trucks.\nGreat views of NYC! ']","https://www.google.com.tw/maps/place/Sinatra+Park/data=!4m7!3m6!1s0x89c259de2136d369:0xdc82fe40835b4c76!8m2!3d40.7416691!4d-74.0259395!16s%2Fg%2F1tf36wj8!19sChIJadM2Id5ZwokRdkxbg0D-gtw?authuser=0&hl=en&rclk=1",0.0147611257564481
"149",301,"The Hudson Bike Loop",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,250,40327,3523,4.6,702,"Cycling park","Riverfront park with a large rock formation, plus sports fields (including cricket) & a boat ramp.","['  Nice park. Very well maintained.  Good view over the water. Not very crowded.\nPeople are well spread out so you are social distancing plus. You are really on your own so you can take off your mask. … ', '  It is a good place to have a waterside walk. It also feature a soccer field where you can watch a game. But there are a lot of mosquitos in the evening during the summer. ', '  park was very clean and nice. There is everything here ans is well kept too. definitely will be coming back here again. ']","https://www.google.com.tw/maps/place/The+Hudson+Bike+Loop/data=!4m7!3m6!1s0x89c256fb3e437ce9:0x47dbed5c7540b663!8m2!3d40.7439905!4d-74.0323626!16s%2Fg%2F1tk68ljh!19sChIJ6XxDPvtWwokRY7ZAdVzt20c?authuser=0&hl=en&rclk=1",6.22536505580078
"150",302,"Elysian Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,0,0,0,4.6,305,"Park","Small, shady neighborhood spot with basketball court, playground & dog-friendly paths.","[""  I love to bring my dog here for the sunrise. There's benches all around for you to take in the sights of the city across the harbor. Cute things for kids to have fun while you relax and enjoy the atmosphere.  Plenty of families in the park around the afternoon. Nice and serene in the early morning! "", '  A mini splash spring makes the summer full of fun!\nThe park has 2 playgrounds for different ages, a dog park, a basketball court, and a nice view! ', ""  Great place to relax and play some basketball! The courts get kind of crowded in the afternoon/evening but that's easy enough to avoid. It also has a fun playground for kids and  composting bins for local residents to use! ""]","https://www.google.com.tw/maps/place/Elysian+Park/data=!4m7!3m6!1s0x89c259d9759a9b7f:0xe5a9d3eeb47554f3!8m2!3d40.7483878!4d-74.025506!16s%2Fg%2F1tdkn442!19sChIJf5uaddlZwokR81R1tO7TqeU?authuser=0&hl=en&rclk=1",0
"151",303,"Columbus Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,26,69,193,4.6,364,"Park","Besides its storied gazebo & Columbus statue, this urban park offers athletic courts & a playground.","['  Was waiting with a friend and was impressed on how clean the park is from what I saw. Was expecting trash and papers in grass but overall clean and quiet. … ', ""  Great park and great location! They have sprinklers for those hot summer days .. 2 tennis courts, and a basketball court .. the park also has a gazebo in the middle which is great to use to take shelter sometimes when it's raining... The … "", '  Great park with 2 fenced in play areas—one for toddlers and one for older kids. It also has a basketball court, 3 tennis courts, a gazebo and sidewalks/grassy space. ']","https://www.google.com.tw/maps/place/Columbus+Park/data=!4m7!3m6!1s0x89c257624b975391:0xc82ad308e65d08c3!8m2!3d40.7485087!4d-74.0328225!16s%2Fg%2F1tlnfbzm!19sChIJkVOXS2JXwokRwwhd5gjTKsg?authuser=0&hl=en&rclk=1",0.386509248596147
"152",304,"Hoboken Riverside Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,18,400,259,4.8,128,"Park","None","['  Pier A Park is one of most beautiful parks with amazing views of Manhattan skyline by Hudson River. The ambiance is really cozy & relaxing and it is definitely one of the best spots in Hoboken. … ', '  One of my Favorite places to visit for watching Fourth of July fireworks on the Jersey side if you’re not interested in going in the crowd in New York then this is a great option you can actually see fireworks that are being done on both sides ', '  One of the best refreshing place. Every time I visit felt refresh. If anyone wants to go for visiting, please take one car because there is a parking problem. Need to look for parking. Most of the place is full of parking. Some place are … ']","https://www.google.com.tw/maps/place/Hoboken+Riverside+Park/data=!4m7!3m6!1s0x89c259f2b6870cb5:0xff72ea8dfbe00c16!8m2!3d40.7372579!4d-74.0271623!16s%2Fg%2F11f658r1y8!19sChIJtQyHtvJZwokRFgzg-43qcv8?authuser=0&hl=en&rclk=1",0.289863797352996
"153",309,"Castle Point Lookout",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,250,14249,4547,4.8,98,"Park","None","['  My favorite observation deck. You can sit and relax on the bench looking on the beautiful Manhattan skyline and cruise liners that coming to the pier somewhere in uptown. … ', ""  This is the spot inside the Steven's campus. It is one of the Highlights os the campus. Fresh air and good vibes "", '  Beautiful view of Hudson and NYC! ']","https://www.google.com.tw/maps/place/Castle+Point+Lookout/data=!4m7!3m6!1s0x89c259dc242ad643:0xed9707177c47f5af!8m2!3d40.7443853!4d-74.0238383!16s%2Fg%2F1th5_ql9!19sChIJQ9YqJNxZwokRr_VHfBcHl-0?authuser=0&hl=en&rclk=1",4.57579271864952
"154",311,"Birthplace of Baseball Monument",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,250,23503,4301,4.6,48,"Historical landmark","This monument marks the spot where the original baseball diamond is believed to have been located.","['  Just an unassuming plaque on a corner.  You can easily miss it going by.  It’s a shame the area is not a field anymore or at least something more significant than a small monument recording such an important part of American history. ', '  Nice plaque and crossroad, and Hoboken is just a great chilled place to visit. ', '  Hey its the birth of baseball how can it not get 5 stars, but seriously it is just a plaque so plan some other activities in Hoboken. ']","https://www.google.com.tw/maps/place/Birthplace+of+Baseball+Monument/data=!4m7!3m6!1s0x89c259d84c3157fd:0x8d5a8e338ec2acb7!8m2!3d40.7499316!4d-74.0272817!16s%2Fg%2F1tgc0prj!19sChIJ_VcxTNhZwokRt6zCjjOOWo0?authuser=0&hl=en&rclk=1",5.16115748619296
"155",312,"Central Railroad of New Jersey Terminal",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,249,10895,5685,4.6,556,"Rail Museum","Romanesque-style riverside ferry & train terminal from 1889, with exhibits on transport history.","['  You have to visit this place of you want to visit Statue of Liberty. Here you will get tickets. It’s better to book in advance. They will charge one mask for 1$ if you don’t have one. Mask is mandatory. ', '  This is the historical building that doubles as the Statue City Cruises New Jersey facility owhere we processed through TSA for our disembarkment on the Statue City Cruises New Jersey boats for the Ellis Island & Statue of Liberty Monument Island tour. ', '  Yesterday, we took The Ferry to Ellis Island and the State of Liberty boarded at the Historic Central Railroad. Great place to start and finish the day. … ']","https://www.google.com.tw/maps/place/Central+Railroad+of+New+Jersey+Terminal/data=!4m7!3m6!1s0x89c250a144a643cb:0x6501a66bf6d76691!8m2!3d40.7072222!4d-74.0352778!16s%2Fm%2F06_2k88!19sChIJy0OmRKFQwokRkWbX9mumAWU?authuser=0&hl=en&rclk=1",4.34893649179375
"156",313,"Hoboken Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,3,14,22,4.8,99,"Park","None","['  love the vibe here, i have celebrated birthdays, gatherings and many more here. the skyline looks amazing, its a huge park. there is skateboard park, basketball park and also a bridge, there is a separate walk way, great place great view … ', '  Peaceful\nVery well maintained\nThe view is amazing ', '  Gorgeous park to go on a walk or have a picnic! It’s very clean and has many food options around. ']","https://www.google.com.tw/maps/place/Hoboken+Park/data=!4m7!3m6!1s0x89c259e1a9807021:0xffbfdc6d720c0ca6!8m2!3d40.7387114!4d-74.0272472!16s%2Fg%2F11g8x9rn_r!19sChIJIXCAqeFZwokRpgwMcm3cv_8?authuser=0&hl=en&rclk=1",0.0449791858324495
"157",316,"Hoboken Fire Department museum",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,249,13838,8244,4.5,41,"Museum","Former 19th-century firehouse with an old-school fire truck on display, plus story time for kids.","['  Amazing place, so fun for kids and adults too! ', '  My son loved this place! He got to ride a fire truck, dress like a fire fighter and leave with his own fireman’s hat! ', '  I went to this place with a grp of special needs children. Although we were suppose to be at the main museum in Hoboken maybe 10 or 20 blocks away, and not wanting to upset the grp we stayed. The service was provided by a really nice couple … ']","https://www.google.com.tw/maps/place/Hoboken+Fire+Department+museum/data=!4m7!3m6!1s0x89c2575f7118d885:0x92f87ea8c8a2912d!8m2!3d40.739264!4d-74.030957!16s%2Fg%2F11b7chfl17!19sChIJhdgYcV9XwokRLZGiyKh--JI?authuser=0&hl=en&rclk=1",4.53509691008642
"158",317,"Erie-Lackawanna Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,0,0,0,4.6,39,"Park","Wooded spot with pavilions, benches & sculpture, paved paths & views of the Manhattan skyline.","['  Nice place to have a walk/jog or jus come to enjoy the views of nyc skyline. And oh Do check out the bars and restaurants that are near by while here ', '  Gr8 place to plan half day picnic with family. Awesome views of NY next to hoboken train station and many restaurants fews blocks away. During summer there are water fountain for kids to cool down. ', ""  Nice park, usually we enjoy here the ice cream we buy nearby. The scenery is beautiful. Don't expect anything special, just a nice little park with a view to Manhattan and you won't be disappointed. ""]","https://www.google.com.tw/maps/place/Erie-Lackawanna+Park/data=!4m7!3m6!1s0x89c259e231c2e143:0x5f08c3ac90390eb4!8m2!3d40.7360091!4d-74.0275335!16s%2Fg%2F1tr9pb8c!19sChIJQ-HCMeJZwokRtA45kKzDCF8?authuser=0&hl=en&rclk=1",0
"159",318,"Madison Park",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,33,166,499,4.6,111,"Park","None","[""  Best splash pad in Hoboken. We're here regularly with the kids over the Summer Months "", ""  It's a small park, has areas of playground for chidlren with different ages, slides, swings. There is a sprayground with sprinklers separately, usually used by kids in the summertime. … "", '  My son love going to this park...I just wish was more shade area ']","https://www.google.com.tw/maps/place/Madison+Park/data=!4m7!3m6!1s0x89c2575da693a5b3:0xc41340725409ff9f!8m2!3d40.7415832!4d-74.0385498!16s%2Fg%2F1tcx_rfj!19sChIJs6WTpl1XwokRn_8JVHJAE8Q?authuser=0&hl=en&rclk=1",0.495530108043963
"160",319,"Hoboken Ferry",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,3,16,24,4.5,153,"Ferry service","None","['  Enjoyed the Ferry ride from Hoboken to World trade.  It was easy to buy tickets s. It wasn’t packed and the ride was fairly short but had great views. We sat outside on the top and enjoyed it!  It took us over closer to battery park with amazing views. ', '  Much faster and nicer way to get to the City instead of taking Path. You can get your tickets online. The historic ferry terminal is nice - staff are helpful. Ferries come on time and in no time you are in NY, NY. The views the ferry offers are gorgeous. Must do for a first timer. ', '  Beautiful old building with Tiffany glass, and ironwork. A nice little park next door with some great views of the New York skyline. ']","https://www.google.com.tw/maps/place/Hoboken+Ferry/data=!4m7!3m6!1s0x89c259e2363765a3:0x7560f6a21e376a4!8m2!3d40.7348157!4d-74.0268078!16s%2Fg%2F1tgf8pz9!19sChIJo2U3NuJZwokRpHbjIWoPVgc?authuser=0&hl=en&rclk=1",0.0451056964802867
"161",320,"New York Harbor Jet Ski",2022-12-20 21:43:23,"Hoboken","Hudson","New Jersey",40.7452,-74.0281,246,35480,6132,4.7,348,"Tour operator","None","['  Can’t give it 10 ⭐️ or I would. From booking to check in to safety and then the jet ski tour itself, the experience was outstanding. Easy, fun, awesome staff and if you want to experience that skyline in a unique/tranquil yet adventurous … ', ""  Interestingly enough, I can't rate (star) the NYC jetski again but if I could, I would give 5 stars again! I went there yesterday for the second time with a group of friends. Brian, the owner, as well as Johanna helped a lot to make a … "", '  A surprise birthday present from my son.  I was visiting from Arizona and it was my first jet ski experience and it was amazing, never to be forgotten experience. Greg? was our lead as we shared the experience with 2 youngsters in their … ']","https://www.google.com.tw/maps/place/New+York+Harbor+Jet+Ski/data=!4m7!3m6!1s0x89c259d0cfd8ea1d:0x76d655512c0cd118!8m2!3d40.7516994!4d-74.0220233!16s%2Fg%2F11bv2c2y4p!19sChIJHerYz9BZwokRGNEMLFFV1nY?authuser=0&hl=en&rclk=1",5.85997501903684
